timestamp,open,high,low,close,volume,average,barCount,tick_volume,trade_count,vwap,broker,symbol
2026-02-22 23:00:00+00:00,65.72,65.9,65.24,65.81,717.0,65.653,438,717.0,438,65.653,ib,CL
2026-02-23 00:00:00+00:00,65.81,65.82,65.48,65.54,449.0,65.616,237,449.0,237,65.616,ib,CL
2026-02-23 01:00:00+00:00,65.53,65.79,65.42,65.7,418.0,65.526,203,418.0,203,65.526,ib,CL
2026-02-23 02:00:00+00:00,65.72,65.85,65.69,65.69,155.0,65.772,112,155.0,112,65.772,ib,CL
2026-02-23 03:00:00+00:00,65.66,65.72,65.5,65.52,181.0,65.592,100,181.0,100,65.592,ib,CL
2026-02-23 04:00:00+00:00,65.55,65.57,65.33,65.39,205.0,65.415,140,205.0,140,65.415,ib,CL
2026-02-23 05:00:00+00:00,65.38,65.61,65.38,65.58,159.0,65.52,101,159.0,101,65.52,ib,CL
2026-02-23 06:00:00+00:00,65.55,65.62,65.46,65.5,138.0,65.528,99,138.0,99,65.528,ib,CL
2026-02-23 07:00:00+00:00,65.52,65.61,65.35,65.48,591.0,65.438,391,591.0,391,65.438,ib,CL
2026-02-23 08:00:00+00:00,65.48,65.73,65.39,65.7,1220.0,65.57,834,1220.0,834,65.57,ib,CL
2026-02-23 09:00:00+00:00,65.69,66.1,65.59,66.02,1687.0,65.946,758,1687.0,758,65.946,ib,CL
2026-02-23 10:00:00+00:00,66.01,66.03,65.82,65.9,787.0,65.906,534,787.0,534,65.906,ib,CL
2026-02-23 11:00:00+00:00,65.89,66.26,65.82,66.23,712.0,66.062,462,712.0,462,66.062,ib,CL
2026-02-23 12:00:00+00:00,66.24,66.5,66.22,66.49,1323.0,66.375,750,1323.0,750,66.375,ib,CL
2026-02-23 13:00:00+00:00,66.49,66.72,66.33,66.69,1805.0,66.51,1025,1805.0,1025,66.51,ib,CL
2026-02-23 14:00:00+00:00,66.69,66.99,66.53,66.78,4071.0,66.751,2388,4071.0,2388,66.751,ib,CL
2026-02-23 15:00:00+00:00,66.8,67.05,66.58,66.6,3320.0,66.87,2108,3320.0,2108,66.87,ib,CL
2026-02-23 16:00:00+00:00,66.6,66.91,66.09,66.2,4777.0,66.51,2999,4777.0,2999,66.51,ib,CL
2026-02-23 17:00:00+00:00,66.22,66.27,65.95,66.06,2153.0,66.093,1368,2153.0,1368,66.093,ib,CL
2026-02-23 18:00:00+00:00,66.05,66.15,65.92,66.02,1229.0,66.041,800,1229.0,800,66.041,ib,CL
2026-02-23 19:00:00+00:00,66.02,66.19,65.93,66.15,3661.0,66.097,1719,3661.0,1719,66.097,ib,CL
2026-02-23 20:00:00+00:00,66.17,66.33,66.16,66.26,2022.0,66.234,790,2022.0,790,66.234,ib,CL
2026-02-23 21:00:00+00:00,66.26,66.33,66.1,66.1,426.0,66.226,247,426.0,247,66.226,ib,CL
2026-02-23 23:00:00+00:00,66.13,66.16,66.01,66.09,146.0,66.09,74,146.0,74,66.09,ib,CL
2026-02-24 00:00:00+00:00,66.11,66.17,66.05,66.16,147.0,66.12,81,147.0,81,66.12,ib,CL
2026-02-24 01:00:00+00:00,66.15,66.3,65.9,66.28,921.0,66.123,545,921.0,545,66.123,ib,CL
2026-02-24 02:00:00+00:00,66.3,66.64,66.24,66.63,590.0,66.43,320,590.0,320,66.43,ib,CL
2026-02-24 03:00:00+00:00,66.63,66.75,66.61,66.71,585.0,66.685,290,585.0,290,66.685,ib,CL
2026-02-24 04:00:00+00:00,66.71,66.71,66.6,66.62,114.0,66.657,71,114.0,71,66.657,ib,CL
2026-02-24 05:00:00+00:00,66.62,66.78,66.44,66.67,593.0,66.617,294,593.0,294,66.617,ib,CL
2026-02-24 06:00:00+00:00,66.66,66.66,66.45,66.59,369.0,66.558,188,369.0,188,66.558,ib,CL
2026-02-24 07:00:00+00:00,66.59,66.62,66.31,66.38,577.0,66.446,348,577.0,348,66.446,ib,CL
2026-02-24 08:00:00+00:00,66.39,66.43,66.12,66.39,1599.0,66.245,1103,1599.0,1103,66.245,ib,CL
2026-02-24 09:00:00+00:00,66.4,66.42,66.18,66.39,1549.0,66.296,803,1549.0,803,66.296,ib,CL
2026-02-24 10:00:00+00:00,66.4,66.43,66.05,66.13,1595.0,66.265,1049,1595.0,1049,66.265,ib,CL
2026-02-24 11:00:00+00:00,66.11,66.26,66.02,66.22,881.0,66.155,562,881.0,562,66.155,ib,CL
2026-02-24 12:00:00+00:00,66.21,66.48,66.12,66.46,1353.0,66.328,847,1353.0,847,66.328,ib,CL
2026-02-24 13:00:00+00:00,66.47,66.97,66.47,66.72,3447.0,66.754,1958,3447.0,1958,66.754,ib,CL
2026-02-24 14:00:00+00:00,66.72,66.73,66.26,66.4,3243.0,66.488,2029,3243.0,2029,66.488,ib,CL
2026-02-24 15:00:00+00:00,66.4,66.53,65.53,65.76,8585.0,65.957,4846,8585.0,4846,65.957,ib,CL
2026-02-24 16:00:00+00:00,65.78,66.11,65.68,65.87,3217.0,65.902,2003,3217.0,2003,65.902,ib,CL
2026-02-24 17:00:00+00:00,65.87,66.2,65.58,65.73,2774.0,65.879,1637,2774.0,1637,65.879,ib,CL
2026-02-24 18:00:00+00:00,65.73,65.93,65.7,65.85,1417.0,65.814,774,1417.0,774,65.814,ib,CL
2026-02-24 19:00:00+00:00,65.85,65.85,65.46,65.81,4213.0,65.6,1962,4213.0,1962,65.6,ib,CL
2026-02-24 20:00:00+00:00,65.8,66.35,65.71,66.2,2541.0,66.016,1366,2541.0,1366,66.016,ib,CL
2026-02-24 21:00:00+00:00,66.2,66.22,65.86,65.97,877.0,66.034,392,877.0,392,66.034,ib,CL
2026-02-24 23:00:00+00:00,65.97,65.99,65.85,65.93,135.0,65.918,92,135.0,92,65.918,ib,CL
2026-02-25 00:00:00+00:00,65.94,66.11,65.84,65.97,225.0,65.977,150,225.0,150,65.977,ib,CL
2026-02-25 01:00:00+00:00,65.97,66.16,65.86,65.96,390.0,66.016,268,390.0,268,66.016,ib,CL
2026-02-25 02:00:00+00:00,65.98,66.22,65.97,66.2,366.0,66.095,242,366.0,242,66.095,ib,CL
2026-02-25 03:00:00+00:00,66.2,66.47,65.89,65.92,1374.0,66.211,613,1374.0,613,66.211,ib,CL
2026-02-25 04:00:00+00:00,65.9,66.02,65.88,65.94,143.0,65.947,87,143.0,87,65.947,ib,CL
2026-02-25 05:00:00+00:00,65.9,65.98,65.87,65.92,283.0,65.921,154,283.0,154,65.921,ib,CL
2026-02-25 06:00:00+00:00,65.92,65.92,65.67,65.89,311.0,65.817,202,311.0,202,65.817,ib,CL
2026-02-25 07:00:00+00:00,65.9,66.06,65.73,65.79,448.0,65.89,312,448.0,312,65.89,ib,CL
2026-02-25 08:00:00+00:00,65.8,66.02,65.63,65.9,1579.0,65.795,1066,1579.0,1066,65.795,ib,CL
2026-02-25 09:00:00+00:00,65.91,65.94,65.38,65.55,1901.0,65.624,1207,1901.0,1207,65.624,ib,CL
2026-02-25 10:00:00+00:00,65.55,65.93,65.52,65.82,1224.0,65.766,798,1224.0,798,65.766,ib,CL
2026-02-25 11:00:00+00:00,65.83,65.89,65.71,65.78,1083.0,65.794,686,1083.0,686,65.794,ib,CL
2026-02-25 12:00:00+00:00,65.75,66.19,65.64,66.1,2982.0,65.937,1773,2982.0,1773,65.937,ib,CL
2026-02-25 13:00:00+00:00,66.1,66.19,65.77,65.8,1838.0,65.991,1202,1838.0,1202,65.991,ib,CL
